VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,9.48,12.99,375.0,30593,290021.64,5902.0,71630.98,30340.57,2319.87,68601.68,-218390.66000000003,-304.88297102734043,0.192919949007943,0.24698494912310678
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,19.99,750.0,20640,289992.0,3555.0,73241.45,36148.64,2799.73,123880.97,-216750.55,-295.93973084912983,0.17223837209302326,0.2525636914121769
8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,7.93,9.99,375.0,36503,289468.79,6800.0,67932.0,26493.48,2673.65,50293.62,-221536.78999999998,-326.1155125713949,0.18628605868010847,0.23467814958566002
3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,7.96,10.99,750.0,36321,289115.16,7266.0,82763.34,27461.37,5720.96,257032.07,-206351.81999999998,-249.3275645956289,0.20004955810688033,0.28626426922752857
480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,19.99,750.0,19926,288727.74,3966.0,83163.34,38187.159999999996,3123.29,89286.27,-205564.4,-247.18151050691327,0.19903643480879255,0.2880337718848906
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,6.79,750.0,61764,287202.6,11105.0,91953.19,16160.6,1246.66,144929.24,-195249.40999999997,-212.33565687063165,0.17979729292144292,0.3201683759130315
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750.0,13941,287184.6,2346.0,64692.53999999999,36289.92,1847.97,30234.420000000002,-222492.06,-343.92228222914116,0.16828061114697654,0.22526465555604305
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750.0,24864,286681.92,4356.0,67436.44,31501.84,3429.68,257032.07,-219245.47999999998,-325.1142557347333,0.1751930501930502,0.2352308788778867
3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,52.71,67.99,1750.0,5401,284686.71,827.0,57362.729999999996,33910.149999999994,1520.0,30234.420000000002,-227323.98000000004,-396.29212207996386,0.15311979263099426,0.2014942320279018
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,38.99,750.0,10792,283937.52,2083.0,78155.17,44138.3,1640.89,257032.07,-205782.35000000003,-263.2997279642537,0.19301334321719793,0.2752548166230373
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,24.99,750.0,14654,283847.98,2436.0,61482.64,32428.129999999997,1918.7,50293.62,-222365.33999999997,-361.6717499443745,0.16623447522860652,0.2166041132299057
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750.0,12224,282007.68,1967.0,63248.33,12191.23,1549.1399999999999,257032.07,-218759.34999999998,-345.87371714004144,0.16091295811518325,0.2242787501390033
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,19.99,750.0,22223,281343.18,4093.0,80158.06999999999,24101.809999999998,458.27000000000004,79528.99,-201185.11,-250.98547158133923,0.18417855375061873,0.28491207784030875
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,62.99,1750.0,6098,280020.16,1126.0,70509.74,46089.67,2069.51,30234.420000000002,-209510.41999999998,-297.1368494622161,0.18465070514922927,0.25180237022934354
12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9.08,12.49,1750.0,30734,279064.72,5451.0,67349.49,23177.23,10015.36,123880.97,-211715.22999999998,-314.35313021672465,0.1773605778616516,0.2413400375368123
8004,SAZERAC CO INC,5299,Southern Comfort,15.26,21.99,1750.0,18234,278250.84,2860.0,59481.4,19803.51,5254.94,50293.62,-218769.44000000003,-367.79470557182583,0.15684984095645496,0.21376898628589944
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,30.99,1750.0,11751,275913.48,2301.0,77714.99,37724.96,4228.46,16978.67,-198198.49,-255.03251045905043,0.1958131222874649,0.28166434637408805
17035,PERNOD RICARD USA,857,Kahlua,16.17,21.99,1000.0,16973,274453.41,3107.0,73107.93,31308.739999999998,3262.35,123780.22,-201345.47999999998,-275.4085363927005,0.1830554409945207,0.26637646804971377
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,26.99,750.0,15382,274107.24,2437.0,60162.63,32206.07,1919.45,257032.07,-213944.61,-355.610467826955,0.15843193342868286,0.21948573850147118
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750.0,23541,273311.01,4218.0,77154.26,21745.21,472.34000000000003,144929.24,-196156.75,-254.2396881260996,0.1791767554479419,0.2822947381446506
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750.0,47015,272687.0,8481.0,91704.28,18699.44,951.62,144929.24,-180982.72,-197.35471452368418,0.18038923747740082,0.33629868677274677
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750.0,12715,272355.3,2213.0,68022.87,30857.04,4066.65,257032.07,-204332.43,-300.3878401484677,0.1740464018875344,0.249757834710762
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750.0,26557,270881.4,4592.0,65837.4,19655.28,514.21,19016.59,-205044.00000000003,-311.44000218720674,0.17291109688594344,0.2430488029078408
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750.0,13061,270754.52999999997,2274.0,69287.26,35024.68,4178.82,9654.5,-201467.26999999996,-290.77101620124677,0.17410611744889365,0.2559043425792359
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750.0,22160,269022.4,3890.0,68579.09999999999,32683.459999999995,7147.59,61966.91,-200443.30000000005,-292.28044695832995,0.17554151624548736,0.2549196646821974
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750.0,16025,266976.5,2786.0,64590.14,30345.949999999997,2194.3,48347.26,-202386.36,-313.3394044354138,0.17385335413416536,0.24193193033843802
