VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
653,STATE WINE & SPIRITS,23260,Penny Wise Svgn Bl,4.51,6.99,750.0,23,103.73,16.0,111.84,55.92,1.78,8014.9800000000005,8.11,7.251430615164519,0.6956521739130435,1.0781837462643402,4.51,Large,31.57
6785,PALM BAY INTERNATIONAL INC,24013,Heritance Cab Svgn,17.1,25.99,750.0,6,102.6,7.0,181.92999999999998,129.95,0.77,13605.41,79.32999999999998,43.60468311988127,1.1666666666666667,1.7731968810916179,17.099999999999998,Small,-17.1
10754,PERFECTA WINES,19344,Montebuena Rioja,8.55,12.99,750.0,12,102.6,12.0,155.88,12.99,1.35,28720.52,53.28,34.18013856812933,1.0,1.5192982456140351,8.549999999999999,Medium,0.0
4425,MARTIGNETTI COMPANIES,25004,Tenuta Sette Cieli Yantra,14.56,21.99,750.0,7,101.92,6.0,131.94,87.96,0.67,144929.24,30.019999999999996,22.752766408973773,0.8571428571428571,1.2945447409733124,14.56,Medium,14.56
90024,VINILANDIA USA,21213,Volcanes Summit Series Cab S,8.49,12.99,750.0,12,101.88,12.0,143.88,11.99,1.35,2802.64,42.0,29.190992493744787,1.0,1.4122497055359247,8.49,Medium,0.0
3960,DIAGEO NORTH AMERICA INC,3917,Smirnoff Peppermint Twist,0.79,0.99,50.0,126,99.53999999999999,154.0,152.46,67.32,7.98,257032.07,52.920000000000016,34.710743801652896,1.2222222222222223,1.5316455696202533,0.7899999999999999,Large,-22.12
9552,M S WALKER INC,21007,Ch Vignot 05 St Emilion Red,49.65,71.99,750.0,2,99.3,3.0,224.97,74.99,0.34,55551.82,125.67,55.860781437525006,1.5,2.265558912386707,49.65,Small,-49.65
1392,CONSTELLATION BRANDS INC,3219,Svedka Grapefruit Jalapeno,0.74,0.99,50.0,134,99.16,412.0,407.88,180.18,21.240000000000002,79528.99,308.72,75.68892811611259,3.074626865671642,4.1133521581282775,0.74,Large,-205.72
12546,JIM BEAM BRANDS COMPANY,1416,Old Grand Dad,19.83,24.99,1750.0,5,99.15,7.0,195.93,139.95,12.870000000000001,123880.97,96.78,49.39519216046547,1.4,1.9760968229954614,19.830000000000002,Small,-39.66
653,STATE WINE & SPIRITS,19925,Green Lip Svgn Bl,8.21,11.99,750.0,12,98.52,12.0,143.88,11.99,1.35,8014.9800000000005,45.36,31.526271893244374,1.0,1.4604141291108403,8.209999999999999,Medium,0.0
9165,ULTRA BEVERAGE COMPANY LLP,2884,Comandon XO Cognac,98.48,129.99,750.0,1,98.48,1.0,129.99,129.99,0.79,68054.7,31.510000000000005,24.240326178936844,1.0,1.3199634443541837,98.48,Small,0.0
9552,M S WALKER INC,2914,Dad's Hat Rye Whiskey,32.6,48.99,750.0,3,97.8,5.0,244.95,48.99,3.94,55551.82,147.14999999999998,60.073484384568275,1.6666666666666667,2.504601226993865,32.6,Small,-65.2
90047,CRUSH WINES,17069,Tangent Albarino,7.51,11.49,750.0,13,97.63,21.0,241.29,149.37,2.33,1457.73,143.66,59.538314890795306,1.6153846153846154,2.4714739321929735,7.51,Medium,-60.08
9165,ULTRA BEVERAGE COMPANY LLP,6159,Lepanto Solera Gran Reserva,31.81,48.99,750.0,3,95.43,3.0,146.97,48.99,0.34,68054.7,51.53999999999999,35.06838130230659,1.0,1.5400817353033636,31.810000000000002,Small,0.0
9552,M S WALKER INC,22556,Piccini Chianti,7.94,11.99,750.0,12,95.28,12.0,155.88,12.99,1.35,55551.82,60.599999999999994,38.876058506543494,1.0,1.6360201511335013,7.94,Medium,0.0
4425,MARTIGNETTI COMPANIES,40454,Yellow Tail Cab/Merlot Ausl,5.29,14.99,1500.0,18,95.22,27.0,225.73,65.93,6.050000000000001,144929.24,130.51,57.81686085145971,1.5,2.3706154169292164,5.29,Medium,-47.61
90027,POVERTY LANE ORCHARDS,43919,Farnum Hill X-Dry StillCider,7.89,11.99,750.0,12,94.68,11.0,131.89000000000001,83.93,1.22,229.88,37.21000000000001,28.21290469330503,0.9166666666666666,1.3930080270384453,7.890000000000001,Medium,7.89
3924,HEAVEN HILL DISTILLERIES,2106,Elijah Craig 18 Yr,93.52,129.99,750.0,1,93.52,2.0,259.98,259.98,1.58,14069.87,166.46000000000004,64.02800215401186,2.0,2.779940119760479,93.52,Small,-93.52
10754,PERFECTA WINES,14826,My Big Fat Greek Red Wine,7.74,11.99,750.0,12,92.88,8.0,95.92,59.95,0.89,28720.52,3.0400000000000063,3.169307756463726,0.6666666666666666,1.032730404823428,7.739999999999999,Medium,30.96
1485,CASTLE BRANDS CORP.,4052,Goslings Family Rsv Rum,46.42,64.99,750.0,2,92.84,4.0,259.96,194.96999999999997,3.1500000000000004,8497.59,167.11999999999998,64.2868133559009,2.0,2.8000861697544157,46.42,Small,-92.84
3960,DIAGEO NORTH AMERICA INC,4398,Capt Morgan ParrotBay Pineap,6.51,11.99,750.0,14,91.13999999999999,11.0,107.89,68.93,8.67,257032.07,16.750000000000014,15.525071832421924,0.7857142857142857,1.1837831906956333,6.509999999999999,Medium,19.53
8673,STE MICHELLE WINE ESTATES,6784,Hawk Crest Chard,7.53,10.99,750.0,12,90.36,8.0,99.92,49.96,0.89,15919.7,9.560000000000002,9.567654123298642,0.6666666666666666,1.1057990261177513,7.53,Medium,30.12
90047,CRUSH WINES,11801,Arabella Chard,7.28,10.99,750.0,12,87.36,12.0,131.88,10.99,1.35,1457.73,44.519999999999996,33.75796178343949,1.0,1.5096153846153846,7.28,Medium,0.0
10754,PERFECTA WINES,17413,Ch Leoville Barton 10 St Jul,84.96,165.99,750.0,1,84.96,4.0,519.96,259.98,0.45,28720.52,435.00000000000006,83.66028156012001,4.0,6.120056497175142,84.96,Small,-254.88
7153,PINE STATE TRADING CO,21355,Cantina Gabriele Dolc White,7.04,10.49,750.0,12,84.48,20.0,213.8,140.37,2.22,15884.82,129.32,60.48643592142189,1.6666666666666667,2.530776515151515,7.04,Medium,-56.32
4692,KOBRAND CORPORATION,25063,Jadot Savigny 13 Clos de Gue,27.58,39.99,750.0,3,82.74,14.0,559.86,279.93,1.55,9139.38,477.12,85.22130532633159,4.666666666666667,6.766497461928934,27.58,Small,-303.38
2242,DELICATO VINEYARDS INC,25221,Gnarly Head OV Zinfandel,6.89,9.99,1000.0,12,82.68,12.0,119.88,9.99,1.8,7982.65,37.19999999999999,31.03103103103102,1.0,1.4499274310595063,6.890000000000001,Medium,0.0
9815,WINE GROUP INC,39282,Concannon Petite Sirah Cntrl,6.84,10.99,750.0,12,82.08,74.0,807.26,369.66,8.24,27100.41,725.18,89.83227213041647,6.166666666666667,9.835038986354776,6.84,Medium,-424.08
9552,M S WALKER INC,24203,Vega Sindoa 14 Garnacha Nava,4.82,6.99,750.0,17,81.94,37.0,478.63,257.8,4.1,55551.82,396.69,82.88030420157533,2.176470588235294,5.841225286795216,4.82,Medium,-96.4
9552,M S WALKER INC,4408,Screech Spiced Rum,10.23,12.99,750.0,8,81.84,15.0,200.85,174.87,11.84,55551.82,119.00999999999999,59.25317401045555,1.875,2.4541788856304985,10.23,Medium,-71.61
1392,CONSTELLATION BRANDS INC,3888,Paul Masson Peach Brandy,0.76,0.99,50.0,107,81.32,101.0,99.99,35.64,5.19,79528.99,18.67,18.671867186718675,0.9439252336448598,1.2295868175110674,0.7599999999999999,Large,4.5600000000000005
10754,PERFECTA WINES,15001,Jubileo Meritage,6.75,9.99,750.0,12,81.0,12.0,119.88,9.99,1.35,28720.52,38.879999999999995,32.43243243243243,1.0,1.48,6.75,Medium,0.0
480,BACARDI USA INC,2502,Dewars Wh Label & Honey 2 Pk,26.92,34.99,750.0,3,80.76,18.0,629.82,384.89000000000004,14.18,89286.27,549.0600000000001,87.17728874916642,6.0,7.798662704309064,26.92,Small,-403.8
9165,ULTRA BEVERAGE COMPANY LLP,7193,Woodstock Killer Bee,8.91,15.99,750.0,9,80.19,16.0,183.84,160.86,12.620000000000001,68054.7,103.65,56.38054830287207,1.7777777777777777,2.2925551814440706,8.91,Medium,-62.370000000000005
4425,MARTIGNETTI COMPANIES,42256,Duboeuf Bjls Rd,3.48,9.49,187.0,23,80.03999999999999,25.0,132.25,15.870000000000001,0.7,144929.24,52.21000000000001,39.478260869565226,1.0869565217391304,1.6522988505747127,3.4799999999999995,Large,-6.96
1392,CONSTELLATION BRANDS INC,22811,Manischewitz Cream Peach,3.33,4.99,750.0,24,79.92,24.0,119.76,4.99,2.7,79528.99,39.84,33.26653306613226,1.0,1.4984984984984986,3.33,Large,0.0
6785,PALM BAY INTERNATIONAL INC,43429,MontGras RSV Cab Svgn,6.66,9.99,750.0,12,79.92,12.0,119.88,9.99,1.35,13605.41,39.959999999999994,33.33333333333333,1.0,1.5,6.66,Medium,0.0
12331,STELLAR IMPORTING CO LLC,236,Loukatos Mastic Liqueur,13.23,17.99,750.0,6,79.38,9.0,161.91,107.94,7.09,119.23,82.53,50.97276264591439,1.5,2.0396825396825395,13.229999999999999,Small,-39.69
4425,MARTIGNETTI COMPANIES,23792,Camila Malbec,6.61,9.79,750.0,12,79.32,12.0,117.48,9.79,1.35,144929.24,38.16000000000001,32.482124616956085,1.0,1.4810892586989413,6.609999999999999,Medium,0.0
5455,MARSALLE COMPANY,3539,MacGavin's Highland Scotch,13.13,24.99,750.0,6,78.78,12.0,215.88,161.91,9.46,937.21,137.1,63.50750416898276,2.0,2.74028941355674,13.13,Small,-78.78
4425,MARTIGNETTI COMPANIES,21217,Copain Wentzel Pnt Nr,39.21,59.99,750.0,2,78.42,4.0,239.96,179.97,0.44,144929.24,161.54000000000002,67.31955325887648,2.0,3.059933690385106,39.21,Small,-78.42
9552,M S WALKER INC,11744,Parducci Sustainable Red,6.53,12.99,750.0,12,78.36,12.0,155.88,12.99,1.35,55551.82,77.52,49.73056197074673,1.0,1.989280245022971,6.53,Medium,0.0
6785,PALM BAY INTERNATIONAL INC,14654,Arrogant Frog Chardonnay,6.49,9.99,750.0,12,77.88,12.0,119.88,9.99,1.35,13605.41,42.0,35.03503503503504,1.0,1.539291217257319,6.489999999999999,Medium,0.0
1392,CONSTELLATION BRANDS INC,6355,Taylor Cream Sherry,3.22,4.99,750.0,24,77.28,16.0,79.84,24.950000000000003,1.79,79528.99,2.5600000000000023,3.206412825651305,0.6666666666666666,1.0331262939958592,3.22,Large,25.76
7153,PINE STATE TRADING CO,22567,Our Daily Red Cab Svgn,3.21,4.79,750.0,24,77.04,8.0,81.92,60.94,0.88,15884.82,4.8799999999999955,5.957031249999995,0.3333333333333333,1.063343717549325,3.2100000000000004,Large,51.36
1392,CONSTELLATION BRANDS INC,36766,Ravenswood Znfdl Lodi,10.95,18.99,750.0,7,76.65,19.0,329.81,260.84999999999997,2.09,79528.99,253.16,76.75934629028835,2.7142857142857144,4.302804957599478,10.950000000000001,Medium,-131.39999999999998
9552,M S WALKER INC,20075,Rampolla Sammarco Toscna IGT,36.91,79.99,750.0,2,73.82,5.0,274.95,164.97,0.56,55551.82,201.13,73.1514820876523,2.5,3.7246003793010027,36.91,Small,-110.72999999999999
1392,CONSTELLATION BRANDS INC,24568,PopCrush Sparkling Wine,6.12,8.99,750.0,12,73.44,12.0,107.88,8.99,1.35,79528.99,34.44,31.92436040044494,1.0,1.468954248366013,6.12,Medium,0.0
10754,PERFECTA WINES,23961,Ken Wright Cellars Pnt Nr,36.66,54.99,750.0,2,73.32,5.0,274.95,274.95,0.55,28720.52,201.63,73.33333333333334,2.5,3.75,36.66,Small,-109.97999999999999
9165,ULTRA BEVERAGE COMPANY LLP,23384,Dom Fouassier Sancerre 13,12.16,17.99,750.0,6,72.96,15.0,269.85,89.94999999999999,1.6800000000000002,68054.7,196.89000000000004,72.96275708727072,2.5,3.698601973684211,12.159999999999998,Small,-109.44
5992,MCCORMICK DISTILLING CO,3301,Triple Crown Blended Whiskey,12.11,15.99,750.0,6,72.66,12.0,191.88,95.94,9.45,1567.85,119.22,62.132582864290185,2.0,2.6407927332782823,12.11,Small,-72.66
